IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.
divji šparglji;S324;1kg;49,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Darsad d.o.o.;11035;Zgornja Pohanca 4, 8272 Zdole, Slovenija;07 477 85 80
paradižnik daterino;S261;1kg;5,96 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;11039;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69
èešnjev paradižnik;S273;1kg;3,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;11039;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69
bio brokoli;S315;1kg;5,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;11039;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69
kivi;S384;1kg;1,79 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;11039;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69
hruške;S531;1kg;1,79 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;11039;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69
èokoladno mleko;S918;200ml;0,41 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
mleèni proteinski napitek vanilija fit;S963;500g;1,47 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
kefir dukat;S1194;330g;1,01 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
bio mleko, 2,8%m.m.;S1251;1l;1,73 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
trajno mleko, 2,8%m.m.;S1254;1l;1,01 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
kozje mleko lactel;S1272;1l;2,26 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
kozje mleko locatelli;S1275;500ml;1,08 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
napitek smoothie jagoda in ananas b-aktiv;S1284;330g;0,93 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
napitek smoothie jabolko, pomaranèa in ananas b-aktiv;S1287;330g;0,84 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
smoothie borovnica in banana b-aktiv;S1308;330g;0,88 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
smoothie jabolko, hruška in špinaèa b-aktiv;S1332;330g;0,84 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
jogurtov napitek navadni actimel danone;S1236;6x 100g;2,58 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Er marketing d.o.o.;11047;Ulica Gradnikove brigade 11, 1000 Ljubljana, Slovenija;01 520 82 22
jogurtov napitek jagoda actimel danone;S1239;6x 100g;2,58 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Er marketing d.o.o.;11047;Ulica Gradnikove brigade 11, 1000 Ljubljana, Slovenija;01 520 82 22
jogurtov napitek mešano sadje actimel danone;S1242;6x 100g;2,58 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Er marketing d.o.o.;11047;Ulica Gradnikove brigade 11, 1000 Ljubljana, Slovenija;01 520 82 22
jogurtov napitek gozdni sadeži actimel danone;S1245;6x 100g;2,58 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Er marketing d.o.o.;11047;Ulica Gradnikove brigade 11, 1000 Ljubljana, Slovenija;01 520 82 22
jogurtov napitek jagoda in banana actimel danone;S1257;6x 100g;2,58 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Er marketing d.o.o.;11047;Ulica Gradnikove brigade 11, 1000 Ljubljana, Slovenija;01 520 82 22
jogurtov napitek granatno jabolko actimel danone;S1320;6x 100g;2,58 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Er marketing d.o.o.;11047;Ulica Gradnikove brigade 11, 1000 Ljubljana, Slovenija;01 520 82 22
jogurtov napitek jagoda in banana actimel kids danone;S1326;6x 100g;2,58 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Er marketing d.o.o.;11047;Ulica Gradnikove brigade 11, 1000 Ljubljana, Slovenija;01 520 82 22
jogurtov napitek hagoda fruchtzwerge;S1335;70g;0,69 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Er marketing d.o.o.;11047;Ulica Gradnikove brigade 11, 1000 Ljubljana, Slovenija;01 520 82 22
napitek monte drink;S915;200ml;0,68 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Erfa d.o.o.;11051;Bevkova 12, 1233 Dob, Slovenija;01 5208 200
kislo zelje grunt;S357;1kg;2,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;11055;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00
kisla repa natureta;S363;1kg;2,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;11055;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00
kislo zelje natureta;S366;1kg;2,13 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;11055;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00
bio kisla repa natureta;S378;1kg;4,43 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;11055;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00
jabolka, rdeèi delišes;S537;1kg;1,89 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Evrosad d.o.o.;11063;Cesta 4. julija 134, 8270 Krško, Slovenija;031 681 546
kozja sirotka, fermentirana, videc;S966;500ml;1,49;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;FARMANOVA d.o.o.;11067;Zvezna ulica 2A, 1000 Ljubljana, Slovenija;031 325 175
šampinjoni, mešani beli in rjavi;S183;1kg;4,18 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Gojenje gob Krevh Jasna s.p.;11071;Nad izviri 26, 2204 Miklavž, Slovenija;02 629 23 17
kozje mleko èepon, 2,8%m.m.;S1224;660ml;2,09 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Hmezad Trgovina Žalec d.o.o.;11075;Arja vas 103, 3301 Petrovèe, Slovenija;03 713 13 60
slovenski krompir;S72;1kg;0,40 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Janež Jože, Kadivec Robert, Zmrzlikar Janez, Kastelic Drago;11087;/;/
bio mleko krepko, 3,2% m.m.;S1035;750ml;1,26 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
kefir krepki suhec krepko, 1,5%m.m.;S1137;750g;2,07 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
kefir krepko, 3,2%m.m.;S1143;750g;2,08 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
kefir krepki suhek krepko, 1,5%m.m.;S1149;250g;0,90 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
kefir krepki suhec krepko, 1,5%m.m.;S1179;500g;1,39 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
kefir jagoda krepki suhec krepko, 1,5%m.m.;S1182;500g;1,56 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
kefir vanilija krepki suhec krepko, 1,5%m.m.;S1185;500g;1,56 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
bio kefir breskev krepki suhec krepko, 1,5%m.m.;S1263;250g;1,24 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
bio kefir banana krepki suhec krepko, 1,5%m.m.;S1266;250g;1,24 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
bio kislo mleko krepko, 3,2%m.m.;S1269;250g;1,09 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kele & Kele d.o.o.;11091;Laze 22 a, 1370 Logatec, Slovenija;01 759 01 62
jogurtni napitek, jagoda, fruity, meggle;S1170;330g;0,85 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Knaus storitve d.o.o.;11111;Lilekova 2, 3000 Celje, Slovenija;03746 23 55
jogurtni napitek, višnja, fruity, meggle;S1173;330g;0,85 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Knaus storitve d.o.o.;11111;Lilekova 2, 3000 Celje, Slovenija;03746 23 55
mleèni zdrob emmi;S942;175g;1,29 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Koèna d.o.o.;11115;Nevlje 34H, 1241 Kamnik, Slovenija;04 584 51 00
kava, cappucino, emmi latte;S1071;230ml;1,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Koèna d.o.o.;11115;Nevlje 34H, 1241 Kamnik, Slovenija;04 584 51 00
kava, macchiato, emmi latte;S1074;230ml;1,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Koèna d.o.o.;11115;Nevlje 34H, 1241 Kamnik, Slovenija;04 584 51 00
kava, vanilija, emmi latte;S1080;230ml;1,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Koèna d.o.o.;11115;Nevlje 34H, 1241 Kamnik, Slovenija;04 584 51 00
kava, strong macchiato, emmi latte;S1089;230ml;1,59;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Koèna d.o.o.;11115;Nevlje 34H, 1241 Kamnik, Slovenija;04 584 51 00
blitva;S105;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kralj Stanislav, Blažun Ivan, Kralj Marta;11119;/;/
solata gentile;S96;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kralj Stanislav, Blažun Ivan, Kralj Marta;11119;/;/
ohrovt;S342;1kg;1,09 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kralj Stanislav, Blažun Ivan, Kralj Marta;11119;/;/
zelena stebelna;S348;1kg;1,69 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kralj Stanislav, Blažun Ivan, Kralj Marta;11119;/;/
jelenovi zrezki nimrod;S798;1kg;23,78 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
stegno jelen;S801;1kg;19,92 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
pleèe jelen;S804;1kg;16,02 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
jelenove golaž kocke nimrod;S807;1kg;14,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
divji prašiè pleèe;S810;1kg;15,93 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
golaž kocke divji prašiè;S813;1kg;14,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
zrezki srna nimrod;S816;1kg;34,21 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
srnje stegno;S819;1kg;32,30 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
spleèe srna;S822;1kg;18,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
golaž kocke srna;S825;1kg;17,22 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Krismit d.o.o.;11127;Trata 35, 4220 Škofja Loka, Slovenija;04 513 06 90
svinjsko stegno brez kosti;S867;1kg;9,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;KZ Sevnica z.o.o.;11131;Savska cesta 20C, 8290 Sevnica, Slovenija;07 816 36 60
eko mlado goveje stegno ekodar;S741;1kg;17,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;KZ Šaleška dolina z.o.o.;11135;Metleèe 7, 3325 Šoštanj, Slovenija;03 898 49 70
mlado goveje mleèe ekodar;S744;1kg;15,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;KZ Šaleška dolina z.o.o.;11135;Metleèe 7, 3325 Šoštanj, Slovenija;03 898 49 70
ledena kava, maxim premium;S921;1l;1,45 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
ledena kava, mixim premium;S927;200ml;0,49 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
èokoladno alpsko mleko;S930;1l;1,64 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
šokoladno alpsko mleko;S933;500ml;0,96 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
vanilijevo alpsko mleko;S945;1l;1,64 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
vanilijevo alpsko mleko;S957;200ml;0,56 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
lešinkovo alpsko mleko;S960;1l;1,64 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
èokoladno alpsko mleko;S969;200ml;0,52 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
èokoladno alpsko mleko brez laktoze;S972;1l;1,78 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
èokoladno mleko;S981;500ml;0,98 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
èokoladno mleko;S984;200ml;0,48 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
èvrsto kislo mleko mu;S1020;180g;0,49 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
sveže mleko mu, 3,5%m.m.;S1023;1l;1,08 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
sveže mleko mu, 1,5%m.m.;S1026;1l;0,90 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
alpsko mleko, 0,5%m.m.;S1128;1l;1,23 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
alpsko mleko, 1,5%m.m.;S1131;500ml;0,84 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
alpsko mleko pol posneto, 1,5%m.m.;S1140;1l;1,48 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
alpsko mleko, 3,5%m.m.;S1155;200ml;0,42 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Ljubljanske mlekarne d.d.;11139;Tolstojeva 63, Ljubljana, Slovenija;080 11 46
